Start Date,Start Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,Stop Date,Stop Time,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Trip_Duration_mins,Trip_Duration_secs,Bike ID,User Type,Birth Year,Gender
2015-10-01,08:19,3201,Dey St,40.737711,-74.066921,2015-10-01,08:25,3195,Sip Ave,40.730742625306576,-74.06378388404845,6,346,24715,Subscriber,1962,1
2015-10-01,08:19,3194,McGinley Square,40.7253399253558,-74.06762212514876,2015-10-01,08:23,3195,Sip Ave,40.730742625306576,-74.06378388404845,4,223,24420,Subscriber,1981,1
2015-10-01,08:20,3210,Pershing Field,40.742677141,-74.051788633,2015-10-01,08:33,3202,Newport PATH,40.7272235,-74.03375890000001,13,783,24531,Subscriber,1983,1
2015-10-01,08:22,3194,McGinley Square,40.7253399253558,-74.06762212514876,2015-10-01,08:26,3195,Sip Ave,40.730742625306576,-74.06378388404845,4,256,24430,Customer,1984,0
2015-10-01,08:22,3209,Brunswick St,40.7241765,-74.05065640000001,2015-10-01,08:32,3199,Newport Pkwy,40.7287448,-74.03210820000001,9,569,24581,Subscriber,1989,1
2015-10-01,08:23,3210,Pershing Field,40.742677141,-74.051788633,2015-10-01,08:38,3183,Exchange Place,40.7162469,-74.0334588,15,896,24629,Subscriber,1976,1
2015-10-01,08:23,3213,Van Vorst Park,40.71848892,-74.047726625,2015-10-01,08:27,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3,207,24702,Subscriber,1985,1
2015-10-01,08:24,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,08:35,3184,Paulus Hook,40.7141454,-74.0335519,11,666,24572,Subscriber,1982,1
2015-10-01,08:25,3220,5 Corners Library,40.73496102000952,-74.05950307846071,2015-10-01,08:39,3185,City Hall,40.7177325,-74.04384499999999,15,871,24409,Subscriber,1978,2
2015-10-01,08:26,3213,Van Vorst Park,40.71848892,-74.047726625,2015-10-01,08:30,3186,Grove St PATH,40.71958611647166,-74.0431174635887,4,229,24670,Subscriber,1981,2
2015-10-01,08:27,3209,Brunswick St,40.7241765,-74.05065640000001,2015-10-01,08:32,3186,Grove St PATH,40.71958611647166,-74.0431174635887,5,306,24640,Subscriber,1984,1
2015-10-01,08:27,3196,Riverview Park,40.7443187,-74.04399090000001,2015-10-01,08:38,3211,Newark Ave,40.72152515,-74.046304543,11,649,24665,Subscriber,1975,1
2015-10-01,08:29,3199,Newport Pkwy,40.7287448,-74.03210820000001,2015-10-01,08:39,3183,Exchange Place,40.7162469,-74.0334588,10,603,24548,Subscriber,1985,1
